community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
49,market,1,新牛记生鲜专卖店,购物服务;综合市场;农副产品市场,277,22.535080,114.119523,人民南路1068-13号新牛记生鲜专卖店
49,market,2,京湖肉菜超市,购物服务;综合市场;农副产品市场,315,22.534786,114.119148,人民南路南京湖酒店一楼(人民南地铁站B口旁)
49,market,3,钱大妈(云峰花园店),购物服务;综合市场;农副产品市场,373,22.538129,114.123266,嘉南社区江背路27号(向西村地铁站D2口步行250米)
50,market,1,钱大妈(振业梅苑店),购物服务;综合市场;农副产品市场|餐饮服务;餐饮相关场所;餐饮相关,167,22.567013,114.059415,中康路振业梅苑D栋106号商铺
50,market,2,果百汇生鲜超市(安得街店),购物服务;综合市场;果品市场,216,22.565998,114.061019,金燕园西门旁(上梅林地铁站H口步行250米)
50,market,3,至美鲜果菜店,购物服务;综合市场;果品市场,238,22.567388,114.057735,梅林四村16栋(上梅林地铁站G口步行320米)
51,market,1,姐弟肉菜店,购物服务;综合市场;农副产品市场,147,22.565425,114.113375,宝岗路90号笋岗村(笋岗地铁站C2口步行260米)
51,market,2,钱大妈(梅园新村店),购物服务;综合市场;农副产品市场,355,22.567189,114.112593,笋田一街171号靠近田心大厦
51,market,3,兴盛肉菜商店,购物服务;综合市场;农副产品市场,379,22.567729,114.115011,田心村99号楼
52,market,1,悦邻生鲜生活超市,购物服务;综合市场;农副产品市场,462,22.560569,114.121037,洪湖二街63号深圳市水产公司职工宿舍
52,market,2,众民生鲜商店,购物服务;综合市场;农副产品市场,488,22.560610,114.121296,洪湖二街63号深圳市水产公司职工宿舍
52,market,3,肥仔生鲜,购物服务;综合市场;农副产品市场,497,22.560812,114.121393,洪湖二街14-10号
