date,city,category,scope,district,units,area_sqm,granularity,source_url
2026-06-22,深圳,二手,住宅,全市,192,19766.21,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-22,深圳,新房,住宅,全市,82,11540.63,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-23,深圳,二手,住宅,全市,224,22847.18,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-23,深圳,新房,住宅,全市,93,11592.18,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-24,深圳,二手,住宅,全市,231,23288.26,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-24,深圳,新房,住宅,全市,107,11473.40,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-25,深圳,二手,住宅,全市,208,20521.82,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-25,深圳,新房,住宅,全市,95,10143.71,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-26,深圳,二手,住宅,全市,214,22825.40,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-26,深圳,新房,住宅,全市,114,12789.77,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-27,深圳,二手,住宅,全市,71,6669.33,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-27,深圳,新房,住宅,全市,60,10005.30,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-28,深圳,二手,住宅,全市,50,4633.55,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-28,深圳,新房,住宅,全市,18,2016.84,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-29,深圳,二手,住宅,全市,214,22509.58,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-29,深圳,新房,住宅,全市,92,11021.71,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
